route_name,min median travel time,max median travel time,Peak time to best ratio,min iq travel time,max iq travel time,Peak iq to best ratio,all times,min median travel hour,max median travel hour,min iq travel hour,max iq travel hour,total obvs,Mean excess time ratio,Mean excess time ratio - weighted,Mean excess iq ratio,Mean excess iq ratio - weighted,distance
32 - Derrimut to Montrose,01:09:58,01:24:34,1.209,00:44:40,01:26:19,1.932,TRUE,4,15,4,15,1004128,1.112,1.127,1.426,1.526,1268472
32 - Montrose to Derrimut,01:12:57,01:23:34,1.146,00:53:57,01:24:01,1.557,TRUE,5,15,5,15,1190605,1.08,1.091,1.224,1.287,1274592
55 - Hume Freeway to Montague St,00:33:41,00:42:03,1.248,00:19:56,01:12:09,3.621,TRUE,3,16,3,10,768781,1.122,1.171,1.809,2.182,672528
55 - Montague St to Hume Freeway,00:34:51,00:44:22,1.273,00:19:46,01:02:21,3.154,TRUE,5,16,0,10,765767,1.114,1.16,1.808,2.148,671580
56 - Laverton to Spotswood,00:13:13,00:16:13,1.228,00:06:32,00:11:47,1.802,TRUE,0,14,0,14,318831,1.116,1.167,1.325,1.499,219537.6
56 - Spotswood to Laverton,00:13:27,00:16:56,1.259,00:07:10,00:14:43,2.055,TRUE,3,14,3,14,284084,1.112,1.156,1.4,1.581,219285.6
58 - Greenvale to Yan Yean Rd,00:26:00,00:34:11,1.315,00:13:53,00:32:45,2.359,TRUE,20,15,20,15,310489,1.098,1.143,1.42,1.636,542208
58 - Yan Yean Rd to Greenvale,00:25:50,00:32:17,1.25,00:13:22,00:30:51,2.308,TRUE,4,15,2,15,429368,1.105,1.144,1.576,1.764,531866.4
A14 - Port Road to Southern Expressway,00:17:21,00:27:17,1.574,00:06:39,00:19:09,2.88,TRUE,6,2,6,2,136338,1.197,1.167,1.757,1.764,360105.6
A14 - Southern Expressway to Port Road,00:18:37,00:23:08,1.243,00:07:28,00:17:10,2.299,TRUE,1,15,23,15,197784,1.128,1.167,1.65,1.912,361077.6
A15 - ANZAC Hwy to Port Rd,00:12:57,00:17:24,1.344,00:01:39,00:09:58,6.008,TRUE,0,17,0,9,235655,1.139,1.204,3.366,4.684,312849.8
A15 - Port Rd to ANZAC Hwy,00:12:38,00:15:54,1.258,00:01:19,00:09:37,7.303,TRUE,0,15,0,15,211902,1.101,1.132,3.559,4.201,311481.8
A16 - Hampstead Rd to Outer Harbor,00:23:18,00:28:35,1.226,00:06:55,00:19:40,2.843,TRUE,4,16,4,16,670247,1.098,1.116,1.747,1.905,497836.8
A16 - Outer Harbor to Hampstead Rd,00:23:12,00:28:56,1.247,00:07:16,00:19:15,2.65,TRUE,4,16,4,16,813254,1.091,1.113,1.543,1.691,499317.6
A17 - Grand Junction to SE Freeway,00:14:05,00:18:03,1.282,00:01:29,00:10:33,7.125,TRUE,4,8,3,8,388126,1.087,1.104,3.197,3.603,326851.2
A17 - SE Freeway to Grand Junction,00:14:10,00:20:12,1.425,00:01:59,00:16:01,8.074,TRUE,3,8,3,8,518468,1.161,1.223,3.457,4.523,326666.4
A2-M2 - Main South Road to Port River Expressway,00:34:42,00:46:36,1.343,00:08:04,00:36:26,4.513,TRUE,5,16,4,16,1090122,1.098,1.144,2.101,2.694,961603.2
A2-M2 - Port River Expressway to Main South Road,00:33:13,00:43:48,1.319,00:07:00,00:33:26,4.773,TRUE,4,16,5,16,1433176,1.119,1.131,2.31,2.435,956126.4
A20 - Grand Junction Rd to Sturt Highway,00:25:12,00:33:27,1.327,00:03:16,00:29:24,9.001,TRUE,2,16,2,17,311530,1.199,1.245,5.192,5.797,778593.6
A20 - Sturt Highway to Grand Junction Rd,00:25:24,00:33:54,1.335,00:06:18,00:25:34,4.062,TRUE,3,16,4,16,288760,1.172,1.21,2.484,2.81,782865.6
A22 - Glebe to Liverpool,00:39:08,00:49:03,1.253,00:23:16,00:46:05,1.98,TRUE,2,16,5,16,1544257,1.092,1.115,1.273,1.347,701923.2
A22 - Liverpool to Glebe,00:40:05,00:47:22,1.182,00:22:45,00:38:42,1.701,TRUE,5,15,5,16,1546941,1.077,1.083,1.356,1.37,702525.6
A22 - Park Terrace to Port Wakefield Rd,00:08:30,00:09:48,1.154,00:02:14,00:05:25,2.421,TRUE,5,15,21,15,448454,1.084,1.103,1.626,1.847,184708.8
A22 - Port Wakefield Rd to Park Terrace,00:08:05,00:11:15,1.39,00:02:29,00:07:16,2.922,TRUE,5,2,6,16,153464,1.148,1.132,1.721,1.674,183408
A28 - Casula to M2 Motorway,00:36:56,00:47:51,1.295,00:16:34,00:44:11,2.667,TRUE,3,15,0,17,2137957,1.124,1.147,1.631,1.752,786556.8
A28 - M2 Motorway to Casula,00:36:05,00:47:30,1.316,00:15:41,00:46:19,2.952,TRUE,4,15,23,16,2075021,1.114,1.134,1.57,1.676,790248
A3 - ANZAC Highway to SE Freeway,00:09:33,00:14:10,1.484,00:02:48,00:12:29,4.448,TRUE,5,8,4,16,42124,1.205,1.272,2.49,2.941,208684.8
A3 - Blakehurst to Pymble,00:36:08,00:44:05,1.22,00:15:18,00:34:16,2.238,FALSE,4,2,5,17,3359603,1.107,1.098,1.544,1.576,732091.2
A3 - Pymble to Blakehurst,00:37:00,00:48:44,1.317,00:18:00,00:38:45,2.154,FALSE,13,3,23,17,3710074,1.088,1.072,1.338,1.316,739039.2
A3 - SE Freeway to ANZAC Highway,00:09:08,00:14:18,1.565,00:02:03,00:14:04,6.845,TRUE,4,8,4,16,42014,1.275,1.356,3.535,4.363,208656
A34 - Liverpool to Newtown,00:31:19,00:44:01,1.406,00:15:36,00:48:29,3.107,TRUE,3,14,4,16,578132,1.198,1.238,1.89,2.082,625843.2
A34 - Newtown to Liverpool,00:29:30,00:41:40,1.413,00:15:07,01:56:24,7.702,TRUE,4,16,21,16,867627,1.159,1.21,2.417,2.893,655600.8
A36 - Broadway to Georges River,00:20:12,00:27:32,1.363,00:07:43,00:23:26,3.038,FALSE,2,16,2,15,323124,1.183,1.229,2.074,2.377,395556
A36 - Georges River to Broadway,00:19:24,00:31:29,1.623,00:05:52,00:32:19,5.503,FALSE,3,15,2,13,334334,1.327,1.39,3.351,3.858,396213.6
A40 - Baulkham Hills to Rozelle,00:28:05,00:42:46,1.523,00:09:02,00:33:52,3.751,TRUE,1,8,1,8,669946,1.295,1.346,2.396,2.676,667651.2
A40 - Rozelle to Baulkham Hills,00:31:49,00:45:22,1.426,00:10:53,00:43:23,3.987,TRUE,23,16,23,17,785066,1.138,1.178,2.04,2.322,674899.2
A6 - Carlingford to Padstow,00:22:48,00:29:25,1.29,00:10:23,00:21:45,2.095,TRUE,22,2,20,2,1515711,1.099,1.093,1.47,1.463,478696.8
A6 - Padstow to Carlingford,00:22:52,00:30:15,1.323,00:11:21,00:27:50,2.453,TRUE,4,17,5,15,1662480,1.199,1.197,1.683,1.722,483100.8
A9 - Nelson St to Port Wakefield Rd,00:08:21,00:08:41,1.039,00:01:24,00:02:59,2.142,TRUE,19,2,23,17,337833,1.013,1.014,1.396,1.478,245630.4
A9 - Port Wakefield Rd to Nelson St,00:08:13,00:09:19,1.134,00:01:51,00:04:57,2.685,TRUE,3,7,3,7,693882,1.083,1.103,1.763,2.059,244788
