hour,LQ_est,med_est,UQ_est,LQ_est_char,med_est_char,UQ_est_char,n_obvs,route_name
0,7005.782002840567,4644.21246743717,3551.5053915705284,2h57m45.7820028s,1h17m24.2124674s,59m11.5053916s,15662,32 - Derrimut to Montrose
1,7064.143619323754,4807.161612894832,3687.6693732366352,2h58m44.1436193s,1h20m7.16161289s,1h1m27.6693732s,13463,32 - Derrimut to Montrose
2,6561.055356928352,4418.65942449513,3414.64882961693,2h49m21.0553569s,1h14m38.6594245s,57m54.6488296s,18139,32 - Derrimut to Montrose
3,6195.731400962585,4302.709636530236,3385.2005032776233,2h43m15.731401s,1h12m42.7096365s,56m25.2005033s,18857,32 - Derrimut to Montrose
4,5994.632978848298,4197.665349245317,3314.2555986831035,2h40m54.6329788s,1h10m57.6653492s,55m14.2555987s,20211,32 - Derrimut to Montrose
5,6502.414077259444,4348.7654602001685,3356.6102575123073,2h48m22.4140773s,1h12m28.7654602s,56m56.6102575s,26514,32 - Derrimut to Montrose
6,7194.174030920657,4610.771835499692,3480.0878020998352,2h60m54.1740309s,1h17m50.7718355s,58m0.0878020998s,50481,32 - Derrimut to Montrose
7,7384.149565770831,4699.858727161508,3537.0497422945677,2h3m4.14956577s,1h18m19.8587272s,59m57.0497423s,60933,32 - Derrimut to Montrose
8,7787.13489050346,4773.935770224624,3513.5235875845465,2h10m47.1348905s,1h20m33.9357702s,59m33.5235876s,64899,32 - Derrimut to Montrose
9,7251.138642637456,4628.298174713187,3446.564996858121,2h1m51.1386426s,1h17m8.29817471s,57m26.5649969s,69897,32 - Derrimut to Montrose
10,7840.281704983601,4794.973144554844,3535.2811461468405,2h11m40.281705s,1h20m54.9731446s,59m55.2811461s,82328,32 - Derrimut to Montrose
11,7814.8025936808435,4797.790719921466,3547.775409523529,2h10m14.8025937s,1h20m57.7907199s,59m7.77540952s,87186,32 - Derrimut to Montrose
12,7778.964271189673,4747.772205723557,3497.7561048980724,2h10m38.9642712s,1h19m7.77220572s,58m17.7561049s,82425,32 - Derrimut to Montrose
13,7641.1103873085,4724.92672309444,3476.7365099227786,2h7m21.1103873s,1h19m44.9267231s,58m56.7365099s,72388,32 - Derrimut to Montrose
14,8225.808961827546,4842.861924607804,3517.2057699736047,2h17m5.80896183s,1h21m42.8619246s,59m37.20577s,74944,32 - Derrimut to Montrose
15,8827.458481973279,5074.012920738949,3648.267899778186,2h27m7.45848197s,1h25m34.0129207s,1h1m48.2678998s,62922,32 - Derrimut to Montrose
16,8462.81154504948,5006.5686772588,3626.9068576673812,2h21m2.81154505s,1h23m26.5686773s,1h0m26.9068577s,40273,32 - Derrimut to Montrose
17,8537.650912887577,5039.049244509396,3649.088821383469,2h22m17.6509129s,1h24m59.0492445s,1h1m49.0888214s,30639,32 - Derrimut to Montrose
18,7385.533933274074,4698.462323321977,3512.0691080810716,2h3m5.53393327s,1h18m18.4623233s,59m32.0691081s,19663,32 - Derrimut to Montrose
19,7092.691726221984,4620.76981631743,3483.165320332407,2h58m12.6917262s,1h17m0.769816317s,58m3.16532033s,19716,32 - Derrimut to Montrose
20,7015.481271189389,4701.882712520015,3572.632638064595,2h57m55.4812712s,1h18m21.8827125s,60m32.6326381s,16902,32 - Derrimut to Montrose
21,6697.679759929869,4572.429741860485,3513.78151968959,2h52m37.6797599s,1h16m12.4297419s,59m33.7815197s,16598,32 - Derrimut to Montrose
22,6734.209872368154,4545.133801400683,3477.2885432624735,2h52m14.2098724s,1h16m45.1338014s,58m57.2885433s,17801,32 - Derrimut to Montrose
23,6853.997828868548,4441.778174419838,3395.767003352272,2h54m13.9978289s,1h14m1.77817442s,57m35.7670034s,21287,32 - Derrimut to Montrose
0,7659.250995477377,4881.7353193672625,3638.028829825391,2h8m39.2509955s,1h21m21.7353194s,1h1m38.0288298s,30659,32 - Montrose to Derrimut
1,7697.412560445866,4988.876460797984,3733.867281293954,2h8m17.4125604s,1h23m8.8764608s,1h2m13.8672813s,27206,32 - Montrose to Derrimut
2,7141.457095380132,4740.86923410218,3584.423784924074,2h59m1.45709538s,1h19m0.869234102s,60m44.4237849s,26860,32 - Montrose to Derrimut
3,6686.682734960169,4437.782062269015,3412.0877165032484,2h51m26.682735s,1h14m57.7820623s,57m52.0877165s,30904,32 - Montrose to Derrimut
4,6638.489865408967,4447.62127388003,3400.8462064749324,2h51m38.4898654s,1h14m7.62127388s,57m40.8462065s,25854,32 - Montrose to Derrimut
