_id,Year,Month,Adelaide,Brisbane,Melbourne,Perth,Sydney,Total domestic network
1,2010,1,2067.352,5153.103,8925.339,3501.532,9137.641,33749.636
2,2010,2,2451.875,5937.97,10455.473,3904.172,10531.851,38744.326
3,2010,3,2704.325,6825.346,11590.773,4573.403,11934.437,43660.306
4,2010,4,2376.738,5921.454,10119.46,4246.161,10069.281,38034.952
5,2010,5,2481.737,6528.262,10608.601,4498.436,10765.319,40613.708
6,2010,6,2428.934,6325.031,10097.227,4285.559,10242.568,39059.3
7,2010,7,2639.632,6557.288,10700.704,4453.161,10470.358,41080.928
8,2010,8,2594.245,6710.225,10684.147,4421.251,10646.603,41051.8
9,2010,9,2673.265,6850.119,11075.833,4625.962,11015.904,42494.282
10,2010,10,2916.728,7406.638,11759.249,5485.275,12395.835,46398.396
11,2010,11,2729.736,7565.456,11823.131,5253.581,12759.265,46380.232
12,2010,12,2793.413,7724.87,11998.493,5049.746,12614.26,46939.926
13,2011,1,2068.118,6319.115,8942.094,3732.596,9760.023,36270.016
14,2011,2,2406.253,6289.173,9914.004,4062.484,10471.248,38660.63
15,2011,3,2707.56,7547.837,11652.391,4912.569,12176.755,45489.482
16,2011,4,2619.021,6150.466,9979.823,4370.647,11012.465,39599.886
17,2011,5,2630.302,7038.275,10984.773,4559.49,11758.27,43375.968
18,2011,6,2410.826,6502.147,9393.873,4458.215,10564.794,38993.874
19,2011,7,2695.975,6468.263,10073.013,4796.802,11233.813,41023.698
20,2011,8,2572.67,6803.349,10368.04,4881.902,11622.268,41897.142
21,2011,9,2528.233,6710.95,10249.325,4600.056,11261.197,41138.78
22,2011,10,2446.485,6860.233,9912.28,4915.392,11184.586,40611.038
23,2011,11,2549.381,7245.473,10726.259,5192.049,11794.196,42994.628
24,2011,12,2578.011,7160.805,10684.179,4997.86,11802.987,43128.24
25,2012,1,1928.455,5469.461,8258.673,3879.701,8632.565,32689.566
26,2012,2,2386.556,6440.394,9719.652,4552.298,10316.258,38454.482
27,2012,3,2449.832,6514.257,10267.873,4784.161,10510.077,40144.984
28,2012,4,2266.335,5673.487,8889.915,4223.915,9837.631,35554.842
29,2012,5,2747.379,6368.777,10461.899,4614.022,10544.965,40310.844
30,2012,6,2283.604,5337.989,8846.38,4175.163,9439.126,34932.688
31,2012,7,2599.012,5935.891,9743.143,4707.446,10483.383,38605.908
32,2012,8,2492.567,5753.328,9678.152,4489.646,10200.464,37498.94
33,2012,9,2403.096,5447.284,9355.857,4212.689,9802.911,35648.258
34,2012,10,2671.967,6241.077,10437.129,4690.11,10928.835,39792.752
35,2012,11,2493.303,6078.525,10169.463,4400.449,10876.171,38785.98
36,2012,12,2576.892,6065.975,10038.383,4490.069,10772.635,38660.318
37,2013,1,2055.877,4952.447,8372.684,3528.48,8446.729,31389.262
38,2013,2,2232.945,5331.329,8896.286,3862.721,9120.216,33684.418
39,2013,3,2327.123,5424.787,9204.131,3854.399,9505.665,34535.052
40,2013,4,2119.249,5128.109,8566.032,3496.297,8955.916,32241.928
41,2013,5,2224.289,5863.092,9695.188,3882.588,9897.086,36068.274
42,2013,6,2220.557,5252.568,8711.499,3736.413,9177.542,33261.814
43,2013,7,2168.909,5561.203,9135.028,3748.534,9462.896,34530.826
44,2013,8,2186.329,5354.363,8946.75,3767.705,9200.125,33753.828
45,2013,9,2285.587,5403.787,8827.974,3499.008,8963.998,33079.62
46,2013,10,2127.515,5312.027,8690.948,3563.672,8908.622,32763.286
47,2013,11,2497.347,5261.111,8903.872,3642.792,9548.659,34316.916
48,2013,12,2240.731,5490.984,8761.524,3734.565,9046.859,33702.892
49,2014,1,1814.875,4513.74,7361.658,3111.244,7298.111,27916.714
50,2014,2,1952.8,4963.382,8437.614,3637.056,8165.975,31073.73
51,2014,3,2175.963,5426.319,9075.447,4171.868,9181.742,34235.978
52,2014,4,1849.852,4867.393,8023.693,3755.454,8149.318,30500.676
53,2014,5,2155.088,5517.835,9371.172,4610.513,9165.005,35175.526
54,2014,6,2142.774,5317.604,8510.59,4057.346,8874.838,32927.654
55,2014,7,2130.902,5567.514,9649.443,4262.743,9320.863,35647.924
56,2014,8,2266.602,5463.782,9014.242,4052.518,9019.917,34035.798
57,2014,9,2155.481,5263.671,9332.794,4004.278,9162.157,34152.57
58,2014,10,2166.474,5194.729,9345.006,4302.621,8969.751,34201.14
59,2014,11,2513.017,5134.598,10091.838,4336.775,9534.219,35822.85
60,2014,12,2348.857,5428.049,9572.675,4202.937,8695.349,34735.766
